Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Centrale photovoltaïque au sol de ZAC Montane 4;Projet de centrale photovoltaïque au sol d'une puissance de 3,76 MWc sur une emprise clôturée de 4,07 ha comprenant 1 poste de conversion et 1 poste de livraison.;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Autorisation au titre du code rural ou forestier;;;ABIES;CGDD - MTES;2018-12-03T21:46:00+01:00;téléprocédure demarches-simplifiées;28/08/2018;19 - Corrèze;17/09/2018;16/10/2018;877877837
Projet de construction d'une usine SNF de production de polyacrylamides;"Construction d'une usine de production de polyacrylamide sur la commune de Gravelines.

Dans le cadre de ce projet, outre les installations sur le site industriel en lui-même, il est prévu la création d’un accès giratoire externe au site et une voie de desserte pour faciliter l’accès depuis la route département 601 et la création d’un accès ferroviaire.";"Installations classées pour la protection de l'environnement;Infrastructures ferroviaires (les ponts, tunnels et tranchées couvertes supportant des infrastructures ferroviaires doivent être étudiés au titre de cette rubrique);Infrastructures routières (les ponts, tunnels et tranchées couvertes supportant des infrastructures routières doivent être étudiés au titre de cette rubrique)";ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-10-25T13:07:24+02:00;téléprocédure demarches-simplifiées;15/05/2019;59 - Nord;31/05/2019;12/07/2019;784671257
Centre de transit et regroupement de déchets industriels et résidus urbains à Mozé-sur-Louet (49);"L'activité du site est liée aux travaux d'entretien des installations d'assainissement et des réseaux, ainsi qu'au pompage de déchets industriels. Le site est concerné par les installations classées en raison d’une cuve de stockage de déchets dangereux (49 tonnes).

Les déchets dangereux stockés sont un mélange essentiellement d’eaux et de boues hydrocarburées.

Le site gère également des déchets non dangereux de type matières de vidange de fosses septiques ou sables de curage de réseau.

Concernant les nuisances actuelles et futures :

Seul un rejet d’eau résiduaire nécessite un encadrement par une convention de rejet et des analyses périodiques.

Les autres incidences potentielles : eaux domestiques, eaux pluviales, bruit, rejet atmosphériques, consommation et utilisation des ressources, milieu naturel, …etc., aucune incidence notable n’est à signaler.

De la même façon, l’activité du site ne génère aucun risque particulier sur la santé des populations voisines.";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;Impact et Environnement;CGDD - MTES;2018-12-03T22:02:44+01:00;téléprocédure demarches-simplifiées;17/07/2018;49 - Maine-et-Loire;10/09/2018;10/10/2018;410963656
Projet d'aménagement de la ZAC Cluster des Médias;"La ZAC du Cluster des Médias en cours de création s’étendra sur environ 70 hectares répartis sur trois communes : Dugny, le Bourget, et La Courneuve.

Ce site bénéficie de nombreux atouts : la nouvelle gare du T11 Dugny - La Courneuve, le parc Georges Valbon (417 hectares, le 3e plus vaste d’Ile-de-France et inscrit dans un site Natura 2000), la proximité du Parc des expositions et de l’aéroport du Bourget et l’arrivée du Grand Paris Express dans le pôle gare du Bourget.

Le projet d’aménagement est pensé pour que les jeux Olympiques et Paralympiques laissent en héritage des aménagements pérennes et durables aux habitants ainsi qu’aux usagers des sites concernés. Ainsi, le Cluster des médias n’est pas un lieu qui sera reconverti ultérieurement : c’est un projet conçu pour offrir toutes les fonctions d’une ville mixte et durable, et qui sera utilisé par les journalistes, les athlètes et les spectateurs pour quelques semaines pendant les Jeux. 

Une fois les Jeux terminés, le Cluster se transformera en un quartier offrant toutes les aménités de la ville durable, sociale et solidaire. Valorisant les atouts et opportunités du site en termes de paysage et de qualité de vie, ce projet vise à développer et unifier les territoires suivant quatre grands axes :

•	Le désenclavement du territoire. La réalisation d’un nouveau franchissement au-dessus de l’A1, dédié aux bus et aux mobilités actives, permettra de mieux relier les villes du Bourget et de Dugny et d’améliorer l’accessibilité aux différentes gares de transport en commun. De même, la nouvelle entrée du parc Georges Valbon, accessible à pied depuis la gare de la nouvelle ligne du T11 Dugny – La Courneuve, ouvrira cet espace vert d’exception au nord parisien, et tout particulièrement aux habitants de Dugny et du Bourget. 



•	Poursuivre l’aménagement de la « Ville-Jardin » par la création d’un nouveau quartier de la Ville de Dugny. Avec une offre de logements diversifiée, notamment privés, il accompagne le développement de la ville en offrant de nouveaux parcours résidentiels dans une logique de mixité sociale. Il permet également d’intégrer davantage le quartier de la Comète au reste de la ville. 



•	Agrandir le Parc. Le Parc George Valbon, troisième espace vert d’Ile-de-France et équipement majeur, voit son rôle conforté par le projet. Sa surface est étendue d’environ 13 hectares grâce à l’aménagement du Terrain des Essences. Elément fort de l’héritage environnemental des Jeux, le projet permet de conforter la trame écologique et de développer la vocation sociale du parc par des usages récréatifs ouverts sur la ville.



•	Rénover et ouvrir sur la ville du parc sportif du Bourget, confortant et développant son rôle et sa vocation uniques au sein de la ville. A l’issue des Jeux cet espace de 13 hectares accueillera un pôle scolaire et sportif renouvelé, en capacité d’accueillir un pôle espoir paralympique.";Travaux, constructions et opérations d'aménagement;URBANISME ET CONSTRUCTION;clos;"Autorisation au titre du code de l'environnement;Déclaration d'utilité publique (DUP)";;;Soberco Environnement;CGDD - MTES;2019-03-04T09:16:35+01:00;téléprocédure demarches-simplifiées;06/02/2019;93 - Seine-Saint-Denis;27/02/2019;12/04/2019;793577016
Projet éolien de Confrançon;"Le projet du parc éolien de Confrançon est composé de 3 aérogénérateurs. 

Une étude d’impact sur l’environnement a été réalisée afin d’évaluer les enjeux environnementaux liés au projet et a permis de rechercher, en amont, les mesures à mettre en place pour la protection de l'environnement et l’insertion du projet.";Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";non defini;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-04-11T14:48:49+02:00;téléprocédure demarches-simplifiées;;01 - Ain;;;831430178
EXTENSION D’UN ELEVAGE DE VOLAILLES- EARL PATRICE GAUTIER;"Je soussigné, M. GAUTIER Patrice, responsable de l’EARL PATRICE GAUTIER,

Adresse : La Touche – 53170 BAZOUGERS

Téléphone : 06.85.87.00.03

Nombre d’UTAF : 2 UTAF

SIRET : 42383260900014

Sollicite l’autorisation d’exploiter un élevage de 152 265 emplacements volailles de chair, soit au maximum 199 575

animaux équivalents volailles de chair. Cet élevage restera soumis au régime de l’autorisation sous les rubriques

2111-1 et 3660-a de la nomenclature des Installations Classées pour la Protection de l’Environnement.

Mon élevage était autorisé à produire 60 425 animaux équivalents en volailles de chair, par le courrier accordant

bénéfice d’antériorité du 23 février 2003 à mon arrêté d’autorisation n°99-347 du 23 mars 1999, sur le site « La

Touche » - commune de BAZOUGERS.

Cette augmentation de cheptel sera accompagnée de la construction de deux poulaillers supplémentaires, de 1 580 m²

utile chacun, pour un total supplémentaire de de 3 160 m² sur les parcelles A 275 A 276 et A 277. La surface totale

d’élevage s’élèvera donc à 5 710 m² sur ce site.

La gestion du fumier de volaille sera modifiée après projet : il sera intégralement composté sur site. Une partie du

compost servira à fertiliser les terres en propre de l’EARL, tandis que le reste sera vendu. Afin de transformer le

fumier brut en compost, un hangar de compostage est également en projet, parcelle A 968 de la commune de

BAZOUGERS.

Aucun tiers n’est situé à moins de 100 m des bâtiments en projet, ni existant. Aucun cours d’eau ni puits n’est situé à

moins de 35 m des bâtiments existants ou en projet. Aucune demande de dérogation n’est donc associée à ce dossier.

Le site d’élevage concerné :

 « La Touche », section A, parcelles n°968, 277, 276, 1374, 1281, 275, 1282 commune de BAZOUGERS.

Les communes situées dans un rayon de 3 km par rapport aux bâtiments sont les suivantes :

 BAZOUGERS (53) ;

 SOULGE-SUR-OUETTE (53) ;

 ARQUENAY (53) ;

 PARNE SUR ROC (53) ;

 LOUVIGNE (53).

Il n’y a pas de plan d’épandage lié au dossier (compostage 100%).

Cependant, dans le cadre d’une non-conformité du compost, le fumier pourra être épandu sur les terres du plan

d’épandage telles que validées par arrêté du 23 mars 1999. Ces terres constituent les parcelles exploitées en propre par

M. GAUTIER, situées sur la commune de :

 BAZOUGERS (53)";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;AQUASOL;CGDD - MTES;2018-12-20T10:20:55+01:00;téléprocédure demarches-simplifiées;27/11/2018;53 - Mayenne;19/12/2018;18/01/2018;750580243
PARC PHOTOVOLTAIQUE à RIANS;parc photovoltaïque à Rians lieu dit Cuer Vielh sur 17,35 ha;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;"Autorisation au titre du code de l'environnement;Autre autorisation au titre du code de l'urbanisme";;;-;CGDD - MTES;2018-12-20T11:28:08+01:00;téléprocédure demarches-simplifiées;21/08/2018;83 - Var;10/09/2018;12/10/2018;505099598
Projet d'installation d'une centrale photovoltaique au sol;Il s'agit d'installer une centrale photovoltaïque au sol sur un ancien site d'enfouissement de déchets inertes sur la commune de CHEF-BOUTONNE. La réalisation d'une étude d'impact environnementale doit obligatoirement être réalisée pour ce type d'installation.;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;Permis de construire;;;L'ARTIFEX;CGDD - MTES;2019-12-16T11:19:24+01:00;téléprocédure demarches-simplifiées;26/12/2019;79 - Deux-Sèvres;13/01/2020;14/02/2020;785355041
Projet Eolien à Couture d'Argenson;Projet éolien de 4 éoliennes de puissance unitaire de 2.2MW et de 150m de haut en bout de pâle. Le périmètre d'étude ainsi que les impacts identifiés sont traités dans l'étude d'impact jointe.;Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-09-16T12:17:45+02:00;téléprocédure demarches-simplifiées;;79 - Deux-Sèvres;17/09/2019;17/10/2019;477855548
Demande d'autorisation d'exploiter une carrière de sables sur la commune de SPAY (72);"Demande d'autorisation d'exploiter une carrière de sables sur le territoire de Spay (72)

Renouvellement et extension (rubrique 2510-1) sur une superficie totale de 54ha29a57 ca dont 39ha49a05ca en renouvellement et environ 36 ha exploitables



Demande d'enregistrement pour la mise en service d'une installation de traitement par lavage-criblage (rubrique 2515-1b)



Demande de défrichement sur une superficie de 2ha88a50ca



Demande de dérogation au titre des espèces protégées pour 45 taxons protégés potentiellement concernés dont 5 amphibiens, trois reptiles, trente-six oiseaux et un mammifère";Installations classées pour la protection de l'environnement;ENVIRONNEMENT (dont ICPE installation classée);non defini;"Autorisation au titre du code de l'environnement;Autorisation au titre du code rural ou forestier";;;ENCEM;CGDD - MTES;2019-03-19T17:22:37+01:00;téléprocédure demarches-simplifiées;20/11/2018;72 - Sarthe;05/12/2018;;533866893
PARC PHOTOVOLTAIQUE à AGNOS;parc photovoltaïque lieu dit les Plouts à Agnos / terrain communal;Ouvrages de production d'électricité à partir de l'énergie solaire;ÉNERGIE;clos;"Autorisation au titre du code de l'environnement;Autre autorisation au titre du code de l'urbanisme";;;-;CGDD - MTES;2018-12-03T17:14:08+01:00;téléprocédure demarches-simplifiées;03/08/2018;64 - Pyrénées-Atlantiques;22/08/2018;24/09/2018;818689556
PROJET DE PARC EOLIEN DE CHATAIGNIER;"La Société GLOBAL WIND POWER souhaite implanter un parc de 6 éoliennes sur la commune de Bazolles dans le département de la Nièvre (58). Le périmètre d’implantation du projet concerne exclusivement des zones agricoles (lieux-dits Les Blondes, Le Deffend).

Le volet écologique du DDAU a été confié aux sociétés AUDDICE ENVIRONNEMENT (pour la réalisation des inventaires) et EODD (pour l'analyse des impacts et la définition des mesures). Dans ce but, un inventaire écologique complet a été réalisé afin d’appréhender au mieux l’ensemble des cortèges écologiques présents au droit du futur projet. Cet inventaire a été réalisé sur un cycle biologique complet, sur l'ensemble de l'année 2016.

Les oiseaux et chiroptères ont fait l'objet d'études approfondies permettant d'aboutir à une variante de moindre impact. Suite à cela la démarche ERC a été appliquée afin d'assurer une préservation des espèces présentes sur le territoire.";Installations classées pour la protection de l'environnement;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;AUDDICE environnement;CGDD - MTES;2019-03-25T08:36:31+01:00;téléprocédure demarches-simplifiées;23/09/2018;58 - Nièvre;15/10/2018;17/11/2018;833524713
Reconstruction de la ligne de grand transport d'électricité entre Avelin (sud de Lille) et Gavrelle (Nord-Est d'Arras);"Création d'une ligne électrique à deux circuits 400 000 volts entre les postes électriques d'Avelin et de Gavrelle.

Extension du poste électrique 400 000 volts de Gavrelle

Démontage de la ligne électrique existante à un circuit 400 000 volts Avelin-Gavrelle";Construction de lignes électriques aériennes en haute et très haute tension;"ENVIRONNEMENT (dont ICPE installation classée);ÉNERGIE";clos;Autorisation au titre du code de l'environnement;;;-;CGDD - MTES;2019-06-10T15:45:42+02:00;téléprocédure demarches-simplifiées;27/05/2019;59 - Nord;12/06/2019;12/07/2019;499680494
