SIREN;Nom de l'entreprise;Produit;Numéro de dossier;Chargé d'affaire;Finalité commerciale;Date D'accord;Date prévisionnelle de signature;Dépenses entreprise (k€);Statut
827967852;AC M&S;Financement installations production énergies renouvellables;3296518228;Dusty Hoppe;Modernisation;;11/12/2019;248;En cours
448977454;HORIZON MOKA;Prêt Crédit Impôt Recherche;5173654129;Arnoldo Roob;Développement;06/04/2011;07/03/2011;426;Gagné
809608292;ABERGEL ET ASSOCIES;Prêt participatif développement bois;5948754230;Darrion Becker;Développement;;27/01/2020;299;En cours
843906694;4 ROUES SOUS 1 PARAPLUIE SAS;Financement travaux modernisation;1165335231;Frederick Predovic;Modernisation;;20/03/2018;300;Perdu
348072109;SOC GESTION REALISATION COMPTABLE;Prêt Crédit Impôt Recherche;1970530732;Felicia Nicolas;Développement;;03/10/2012;441;Perdu
499357705;3 IC INTERNATIONAL;Prêt participatif développement bois;2602584233;Abigayle Rohan;Développement;;26/02/2015;106;Perdu
800241531;HMC CONCEPTION ETUDES TECHNIQUES;Financement campagne sensibilisation interne TES;2286946634;Frederick Predovic;Développement;05/10/2012;15/08/2012;246;Gagné
417576444;A.I.E PLOMBERIE (AGENCEMENT INGENIERIE ETUDE PLOMBERIE);Prêt participatif développement bois;8682815935;Mara Lowe;Développement;;11/07/2019;379;Perdu
818459190;A J C INGENIERIE;Financement plan réduction émissions CO2;7723533536;Dusty Hoppe;Modernisation;;09/10/2016;355;Perdu
794965285;SOC CIVILE PRODUCT PHONOGRAMMES FRANCE;Prêt participatif développement bois;5471203437;Dusty Hoppe;Développement;;30/06/2012;204;Perdu
478738917;SISTBP;Prêt Crédit Impôt Recherche;1917958538;Abigayle Rohan;Développement;17/12/2019;17/10/2019;206;Gagné
832312896;HOLIDAY BOILEAU;Prêt participatif développement bois;1390431239;Arnoldo Roob;Développement;;07/11/2015;237;Perdu
494152325;HEATALY;Financement formation TES;6742734940;Felicia Nicolas;Développement;12/03/2011;30/12/2010;314;Gagné
751885831;HIGHSYS;Financement campagne sensibilisation interne TES;1535865241;Queen Pfannerstill;Développement;03/01/2012;12/10/2011;137;Gagné
841563125;HOLDING REGENCIA;Prêt Crédit Impôt Recherche;7870791742;Queen Pfannerstill;Développement;07/08/2016;26/06/2016;374;Gagné
824193692;HDW SEC;Prêt économies énergies;3021888643;Cecile Marquardt;Modernisation;;18/07/2012;470;Perdu
840342992;HOTEL LOUISON;Financement installations production énergies renouvellables;7917038844;Arnoldo Roob;Modernisation;;05/09/2017;234;Perdu
824666937;HORS LIMITES ARCHITECTURE;Financement campagne sensibilisation interne TES;9884400645;Arnoldo Roob;Développement;;14/02/2010;388;Perdu
422238725;SOC EDEN HOTEL;Financement formation TES;5197907646;Dusty Hoppe;Développement;09/08/2017;19/05/2017;419;Gagné
480131127;HERBORISA NATURA;Financement innovation écologique;7974189947;Price Glover;Développement;;12/03/2014;475;Perdu
844577320;A.B.L.L. 55;Prêt participatif développement bois;9055184348;Price Glover;Développement;;20/01/2015;109;Perdu
830815650;SK CONCEPT;Financement campagne sensibilisation interne TES;8567953049;Mara Lowe;Développement;23/08/2017;16/07/2017;251;Gagné
499575702;SILLAGE DISTRIBUTION SARL;Prêt participatif développement bois;6078188350;Dusty Hoppe;Développement;06/11/2019;25/08/2019;300;Gagné
829469212;ABDP CONSEILS;Prêt participatif développement bois;4243585251;Trystan Hickle;Développement;;29/09/2018;328;Perdu
572215721;SIMAPA SASU;Financement campagne sensibilisation interne TES;3712602552;Abigayle Rohan;Développement;;10/10/2016;129;Perdu
844169631;SLJ COHEN;Financement plan réduction émissions CO2;4236382853;Trystan Hickle;Modernisation;;24/06/2014;306;Perdu
434367124;SOC FRANCAISE FOYERS ECONOMIQUES;Prêt Crédit Impôt Recherche;5162565054;Dusty Hoppe;Développement;;08/06/2011;179;Perdu
851150854;HOTEL EXCELSIOR;Financement plan réduction pollution;3714755455;Dusty Hoppe;Modernisation;27/07/2014;13/05/2014;203;Gagné
39145412;HOTEL DU MINISTERE;Financement formation TES;2928440556;Dusty Hoppe;Développement;01/11/2019;14/08/2019;397;Gagné
833911993;SOC ETUDES FISCALES JURIDIQUES;Prêt Crédit Impôt Recherche;9263779457;Mara Lowe;Développement;;07/08/2010;281;Perdu
798956413;A. WEBER METAUX;Prêt Crédit Impôt Recherche;7659069558;Cecile Marquardt;Développement;;16/10/2010;171;Perdu
839173796;HOTEL CECILIA;Financement formation TES;6879209359;Trystan Hickle;Développement;;18/08/2017;361;Perdu
522877117;SOC DISTRIBUTION PARIS GAMBETTA;Prêt économies énergies;7307096960;Dusty Hoppe;Modernisation;;03/04/2013;108;Perdu
480990746;A.I.J.A.;Financement innovation écologique;5770368961;Abigayle Rohan;Développement;30/12/2014;18/10/2014;147;Gagné
509242582;HOTEL DE SENLIS PARIS;Prêt économies énergies;2609892662;Cecile Marquardt;Modernisation;08/08/2017;17/06/2017;474;Gagné
417902806;HOTEL ETOILE TROCADERO;Prêt participatif développement bois;6659623063;Mara Lowe;Développement;;27/03/2012;291;Perdu
509056263;HOTEL DES GRANDES ECOLES;Financement installations production énergies renouvellables;2067919264;Queen Pfannerstill;Modernisation;;03/06/2018;193;Perdu
508827391;SOC GARAGE SAINT GEORGES;Financement travaux modernisation;2525034165;Arnoldo Roob;Modernisation;22/07/2011;27/04/2011;357;Gagné
805364213;SOC DOCUMENTS;Prêt économies énergies;7738615466;Dusty Hoppe;Modernisation;13/11/2015;27/08/2015;460;Gagné
478315583;37 LOGISTICS;Financement plan réduction pollution;9841675067;Brad Volkman;Modernisation;06/11/2014;04/09/2014;115;Gagné
480990746;A.I.J.A.;Financement plan réduction émissions CO2;5833147268;Price Glover;Modernisation;;02/04/2019;116;Perdu
402528608;SMALL GALLERY; (k€  ;5330894969;Brad Volkman;#N/A;;05/12/2018;259;Perdu
841973514;HOTEL DU COLLEGE DE FRANCE;Financement formation TES;1591810670;Cecile Marquardt;Développement;;18/06/2010;197;Perdu
844169631;SLJ COHEN;Financement plan réduction émissions CO2;8396615771;Lavon Lang;Modernisation;28/06/2018;02/04/2018;377;Gagné
844088534;A B DEVELOPPEMENT;Prêt participatif développement bois;6861543672;Cecile Marquardt;Développement;;17/10/2016;389;Perdu
848994737;SINNY & OOKO;Financement campagne sensibilisation interne TES;6525211273;Mara Lowe;Développement;;09/07/2019;432;Perdu
451239628;3 AY;Prêt économies énergies;9072347774;Cecile Marquardt;Modernisation;13/07/2016;26/04/2016;366;Gagné
793876095;HOTEL EIFFEL SEGUR;Financement plan réduction pollution;5541390175;Arnoldo Roob;Modernisation;;07/04/2013;145;Perdu
443307046;SOC CAVES D ARGENT;Financement innovation écologique;7049514076;Price Glover;Développement;;27/09/2012;157;Perdu
851638882;SHIRO;Prêt participatif développement bois;5628264177;Felicia Nicolas;Développement;;05/09/2011;487;Perdu
439911330;HOTEL DUPLEX SUFFREN;Prêt participatif développement bois;9552925478;Isaac Runolfsdottir;Développement;;04/09/2013;311;Perdu
841863434;HOTEL ATALA;Financement campagne sensibilisation interne TES;5544513279;Arnoldo Roob;Développement;;21/10/2016;410;Perdu
504466715;SILOM GROUP SARL;Prêt économies énergies;9691443980;Arnoldo Roob;Modernisation;20/07/2011;15/06/2011;347;Gagné
839775780;SOC FRANCAISE TRANSPORTS GONDRAND FRERES;Prêt participatif développement bois;4610628981;Felicia Nicolas;Développement;;15/08/2019;347;Perdu
532247483;SOC FR D'EQUIPEMENT HOSPITALIER;Financement plan réduction émissions CO2;9012014582;Queen Pfannerstill;Modernisation;;11/09/2011;418;Perdu
834053712;SNCEEL;Financement campagne sensibilisation interne TES;4795469883;Trystan Hickle;Développement;;05/12/2018;121;Perdu
831430178;HAUT COMME 3 POMMES;Prêt économies énergies;9471774684;Hayden Schroeder;Modernisation;;14/12/2011;491;Perdu
432603876;SINGER & HAMILTON;Prêt économies énergies;9430432685;Lavon Lang;Modernisation;;27/07/2016;296;Perdu
43904119;SLOCLAP;Prêt économies énergies;8228794086;Dusty Hoppe;Modernisation;;04/07/2011;312;Perdu
38871828;SMART PC;Financement plan réduction émissions CO2;1913986487;Felicia Nicolas;Modernisation;;06/06/2011;110;Perdu
818459190;A J C INGENIERIE;Financement installations production énergies renouvellables;8698432788;Price Glover;Modernisation;;11/09/2019;171;Perdu
798450706;SOC FRANC DE PHYSIQUE;Financement innovation écologique;3728043489;Trystan Hickle;Développement;;19/04/2018;348;Perdu
348978982;HOTEL IMPERIAL;Financement travaux modernisation;1149662390;Queen Pfannerstill;Modernisation;;15/07/2010;485;Perdu
791970205;HONOTEL MDO;Financement travaux modernisation;3980455991;Arnoldo Roob;Modernisation;;28/01/2019;364;Perdu
789929387;HOTEL GEORGE;Financement plan réduction émissions CO2;9708951792;Mara Lowe;Modernisation;;02/10/2015;425;Perdu
379617632;SO LEAD;Prêt économies énergies;7505116593;Abigayle Rohan;Modernisation;;28/03/2015;476;Perdu
831528690;SOC FRANC OPTIQUE LUNETTERIE;Financement campagne sensibilisation interne TES;6062589894;Dusty Hoppe;Développement;;23/03/2011;394;Perdu
753983592;A R O E V E N;Financement plan réduction pollution;5571261695;Frederick Predovic;Modernisation;;02/09/2011;354;Perdu
443307046;SOC CAVES D ARGENT;Financement formation TES;9788298196;Arnoldo Roob;Développement;15/06/2015;22/04/2015;118;Gagné
400408233;3C ASSOCIES;Prêt Crédit Impôt Recherche;7026643297;Trystan Hickle;Développement;;27/09/2010;359;Perdu
481779346;HOME DECORATION;Financement innovation écologique;5171547398;Darrion Becker;Développement;;26/03/2016;213;Perdu
841924715;HORRENBERGER;Financement plan réduction pollution;9359002899;Brad Volkman;Modernisation;24/12/2015;07/11/2015;321;Gagné
807744628;A.V.P.P.SARL;Prêt participatif développement bois;1264133100;Trystan Hickle;Développement;;11/02/2013;238;Perdu
38852463;HOTEL DES MARRONNIERS;Prêt économies énergies;4719199101;Lavon Lang;Modernisation;16/07/2016;18/04/2016;169;Gagné
417948254;HOTEL JUGE;Financement plan réduction pollution;0919922102;Trystan Hickle;Modernisation;;15/09/2014;377;Perdu
840116297;SOC AU PETIT MATELOT;Financement travaux modernisation;6377465103;Queen Pfannerstill;Modernisation;;26/08/2019;418;Perdu
834053712;SNCEEL;Financement travaux modernisation;9745935104;Price Glover;Modernisation;;17/03/2015;342;Perdu
503952426;SOC ATLANTIC HOTEL;Financement plan réduction pollution;3294588105;Hayden Schroeder;Modernisation;;07/07/2011;286;Perdu
851166397;9HOTEL BASTILLE LYON;Financement innovation écologique;5233449106;Cecile Marquardt;Développement;;20/07/2011;432;Perdu
754059707;A+ CTRE AUSTRALIEN EDUC CULTURE;Prêt participatif développement bois;3056114107;Abigayle Rohan;Développement;;07/01/2016;338;Perdu
483328209;6WWW;Financement plan réduction émissions CO2;6760018108;Queen Pfannerstill;Modernisation;;29/05/2010;422;Perdu
532850328;ABATAEL SERVICES;Prêt participatif développement bois;7949851109;Queen Pfannerstill;Développement;;10/01/2015;416;Perdu
847922606;SHEFOB;Prêt participatif développement bois;7933915110;Arnoldo Roob;Développement;24/01/2014;05/12/2013;205;Gagné
804634699;AB 26;Prêt participatif développement bois;8596101111;Hayden Schroeder;Développement;09/10/2016;19/07/2016;325;Gagné
824807234;A. GOMBERT;Financement plan réduction pollution;8665688112;Abigayle Rohan;Modernisation;;12/05/2017;310;Perdu
425000866;2 HS CONSULTANTS;Financement plan réduction émissions CO2;1802638113;Dusty Hoppe;Modernisation;12/08/2017;31/05/2017;293;Gagné
315251348;ABC MARKETING;Financement plan réduction émissions CO2;0958247114;Cecile Marquardt;Modernisation;;06/04/2013;295;Perdu
412217309;HOTEL MIRABEAU EIFFEL;Financement campagne sensibilisation interne TES;6231963115;Brad Volkman;Développement;;10/05/2016;386;Perdu
379617632;SO LEAD;Financement travaux modernisation;4053008116;Frederick Predovic;Modernisation;;02/04/2018;428;Perdu
842051450;100 000 ENTREPRENEURS;Prêt économies énergies;7881760117;Trystan Hickle;Modernisation;;04/04/2017;180;Perdu
451385827;HOTEL DUQUESNE;Financement installations production énergies renouvellables;0989349118;Trystan Hickle;Modernisation;03/10/2015;05/08/2015;386;Gagné
413116526;A.L.C.;Financement plan réduction émissions CO2;3118907119;Queen Pfannerstill;Modernisation;04/01/2019;23/11/2018;400;Gagné
309458941;SNC GBT;Financement travaux modernisation;6198957120;Trystan Hickle;Modernisation;;26/05/2019;227;Perdu
832607790;ACADEMEIE MUSICALE DU 13EME  ARRT;Financement plan réduction émissions CO2;7227957121;Cecile Marquardt;Modernisation;;23/12/2014;224;Perdu
533405924;HOTEL DE NORMANDIE;Financement formation TES;0407840122;Hayden Schroeder;Développement;;14/11/2013;254;Perdu
839245628;HONODIS;Financement campagne sensibilisation interne TES;1238559123;Queen Pfannerstill;Développement;;14/11/2013;451;Perdu
424751170;A.P.ENVIRONNEMENT;Prêt Crédit Impôt Recherche;0553555124;Felicia Nicolas;Développement;;30/03/2017;296;Perdu
791970205;HONOTEL MDO;Financement installations production énergies renouvellables;0865471125;Isaac Runolfsdottir;Modernisation;09/05/2020;14/02/2020;434;Gagné
815361621;A LA BONNE HEURE;Prêt participatif développement bois;8194689126;Frederick Predovic;Développement;;26/08/2010;421;Perdu
793577016;SHENKUO BUSINESS PARTNERS;Financement installations production énergies renouvellables;7625172127;Price Glover;Modernisation;;15/12/2015;458;Perdu
500454756;A M B ASSURANCES;Prêt Crédit Impôt Recherche;0214241128;Lavon Lang;Développement;;09/06/2011;366;Perdu
483355475;SIGNATURS;Financement innovation écologique;3431602129;Felicia Nicolas;Développement;28/05/2012;16/03/2012;213;Gagné
750211575;SNC HJF FLORESCENCE;Prêt participatif développement bois;0668888130;Dusty Hoppe;Développement;08/10/2013;01/08/2013;455;Gagné
828320879;SLIDE WASH;Financement plan réduction pollution;1391825131;Lavon Lang;Modernisation;;05/10/2019;158;Perdu
439414046;A.F.M;Financement campagne sensibilisation interne TES;6134463132;Trystan Hickle;Développement;;14/03/2011;196;Perdu
420811721;SINORAMA;Prêt participatif développement bois;2268340133;Mara Lowe;Développement;;19/07/2017;350;Perdu
811300375;A E P STE MARTHE;Financement plan réduction émissions CO2;5495579134;Felicia Nicolas;Modernisation;09/06/2016;03/04/2016;160;Gagné
804634699;AB 26;Financement plan réduction émissions CO2;7025469135;Abigayle Rohan;Modernisation;;20/04/2018;469;Perdu
421483926;A.D.G.;Financement innovation écologique;9017767136;Frederick Predovic;Développement;;10/02/2011;246;Perdu
524877636;A.V.S.;Prêt économies énergies;2027737137;Dusty Hoppe;Modernisation;29/01/2015;02/12/2014;336;Gagné
428437511;SIMFLEUR DEVELOPPEMENT;Prêt économies énergies;6208956138;Lavon Lang;Modernisation;09/03/2012;07/02/2012;438;Gagné
421858267;SIMPLE ENGINEERING FRANCE;Financement campagne sensibilisation interne TES;9329338139;Dusty Hoppe;Développement;02/08/2012;13/05/2012;140;Gagné
432603876;SINGER & HAMILTON;Financement installations production énergies renouvellables;5556458140;Price Glover;Modernisation;;28/10/2016;391;Perdu
452290927;HOTEL DE CHAMONIX;Financement installations production énergies renouvellables;2771078141;Darrion Becker;Modernisation;;13/03/2015;247;Perdu
844088534;A B DEVELOPPEMENT;Prêt Crédit Impôt Recherche;2383173142;Queen Pfannerstill;Développement;;12/09/2016;258;Perdu
439987421;SOC DISTRIBUTION PARISIENNE;Financement innovation écologique;3015996143;Mara Lowe;Développement;23/06/2015;20/05/2015;164;Gagné
844169631;SLJ COHEN;Financement travaux modernisation;5642475144;Darrion Becker;Modernisation;;01/09/2019;186;Perdu
830815650;SK CONCEPT;Financement formation TES;0158595145;Hayden Schroeder;Développement;08/12/2012;21/10/2012;236;Gagné
512674714;HOTEL DES PROVINCES;Prêt participatif développement bois;7074885146;Brad Volkman;Développement;;21/03/2019;293;Perdu
803425925;4DCELL;Financement innovation écologique;4245199147;Abigayle Rohan;Développement;20/01/2013;23/10/2012;425;Gagné
498962463;SNC B.V.;Financement innovation écologique;4893743148;Queen Pfannerstill;Développement;13/04/2013;09/02/2013;348;Gagné
794525519;SJMC;Prêt participatif développement bois;7384016149;Cecile Marquardt;Développement;;24/12/2014;477;Perdu
842694796;ABA DAN DEPANN;Financement innovation écologique;5224918150;Darrion Becker;Développement;;06/11/2016;430;Perdu
435237011;SNC PRIMEUM;Financement plan réduction émissions CO2;1886182151;Arnoldo Roob;Modernisation;;02/02/2016;226;Perdu
841746480;HOTEL BELIDOR;Financement innovation écologique;7991419152;Felicia Nicolas;Développement;05/04/2016;20/02/2016;121;Gagné
829166693;SKETCHFAB;Prêt économies énergies;5543456153;Dusty Hoppe;Modernisation;;13/10/2018;221;Perdu
833641509;A O C;Financement campagne sensibilisation interne TES;5162046154;Frederick Predovic;Développement;;19/06/2016;300;Perdu
840342992;HOTEL LOUISON;Financement formation TES;2615264155;Brad Volkman;Développement;;13/04/2018;494;Perdu
353216690;A.S ASCENSEURS SERVICES;Prêt participatif développement bois;9631199156;Hayden Schroeder;Développement;;03/04/2011;408;Perdu
851744565;HOTEL DE VARENNE;Financement plan réduction émissions CO2;7300627157;Frederick Predovic;Modernisation;;05/04/2016;418;Perdu
841747785;SILENT;Financement campagne sensibilisation interne TES;6532494158;Mara Lowe;Développement;;09/10/2011;340;Perdu
500238241;SOC GRAND HOTEL LAFAYETTE BUFFAULT;Prêt participatif développement bois;7188685159;Price Glover;Développement;;03/11/2018;484;Perdu
529853269;HORS SERIE;Prêt participatif développement bois;4064179160;Mara Lowe;Développement;17/03/2015;04/01/2015;144;Gagné
499195261;7C;Financement installations production énergies renouvellables;7167094161;Hayden Schroeder;Modernisation;;18/11/2011;360;Perdu
820650497;HIRED TALENT MARKETPLACE FRANCE SAS;Prêt économies énergies;8122356162;Price Glover;Modernisation;;02/08/2012;408;Perdu
822949046;22Â°;Financement travaux modernisation;7468288163;Brad Volkman;Modernisation;;19/01/2019;309;Perdu
483800553;AAPS AVOCATS;Financement formation TES;1033854164;Arnoldo Roob;Développement;23/10/2012;31/08/2012;431;Gagné
840524888;SOC DES FEMMES;Financement campagne sensibilisation interne TES;0778156165;Trystan Hickle;Développement;;05/04/2012;294;Perdu
849598917;137 BLVD;Financement formation TES;7585033166;Price Glover;Développement;;09/10/2018;327;Perdu
452689094;HOOGSTOEL & ASSOCIES SAS;Financement plan réduction pollution;4080773167;Cecile Marquardt;Modernisation;;02/02/2015;127;Perdu
842051450;100 000 ENTREPRENEURS;Financement formation TES;9664064168;Mara Lowe;Développement;06/07/2013;17/05/2013;432;Gagné
413914193;HBL CONSEIL;Prêt économies énergies;9833921169;Arnoldo Roob;Modernisation;;01/06/2016;210;Perdu
378253553;6A CAPITAL & CONSEIL;Financement plan réduction émissions CO2;9831820170;Dusty Hoppe;Modernisation;;23/05/2017;408;Perdu
851611798;HISTORY GROUP;Financement travaux modernisation;1139371171;Isaac Runolfsdottir;Modernisation;08/04/2020;03/02/2020;429;Gagné
505032094;SHOWROOM 11 ROYALE;Financement innovation écologique;1552460172;Mara Lowe;Développement;26/12/2011;15/11/2011;483;Gagné
834124448;SNC STEF-TFE SERVICES;Financement travaux modernisation;2387757173;Mara Lowe;Modernisation;17/12/2019;25/09/2019;453;Gagné
521722090;HEXAMEDIA;Financement plan réduction pollution;7583854174;Cecile Marquardt;Modernisation;27/02/2015;28/12/2014;498;Gagné
848882411;AAUPC CHAVANNES & ASSOCIES;Financement formation TES;5421526175;Frederick Predovic;Développement;;10/01/2011;330;Perdu
520797465;HOTEL & LODGE;Prêt participatif développement bois;5099119176;Lavon Lang;Développement;;12/07/2018;384;Perdu
441880986;SMIIRL;Prêt participatif développement bois;3625464177;Lavon Lang;Développement;21/05/2017;31/03/2017;271;Gagné
422281691;HOTEL DES GRANDS HOMMES;Financement formation TES;3207704178;Queen Pfannerstill;Développement;;06/11/2015;141;Perdu
491141131;HOTEL DALAYRAC;Financement formation TES;2589416179;Brad Volkman;Développement;;13/12/2014;190;Perdu
534740857;HERACLES AVOCATS;Financement plan réduction émissions CO2;5182294180;Isaac Runolfsdottir;Modernisation;;30/11/2019;100;En cours
805364213;SOC DOCUMENTS;Financement plan réduction pollution;5366617181;Price Glover;Modernisation;05/02/2011;09/11/2010;335;Gagné
425000866;2 HS CONSULTANTS;Financement travaux modernisation;7583831182;Trystan Hickle;Modernisation;;29/12/2019;220;En cours
833524713;HAWAII;Financement installations production énergies renouvellables;1596145183;Darrion Becker;Modernisation;08/11/2016;15/08/2016;160;Gagné
498646439;AARPI MOUNET HUSSON-FORTIN;Prêt participatif développement bois;2796190184;Felicia Nicolas;Développement;;11/12/2013;399;Perdu
818620536;HOTEL DE LA GARE DU NORD;Prêt Crédit Impôt Recherche;6657461185;Darrion Becker;Développement;;13/12/2015;472;Perdu
851150854;HOTEL EXCELSIOR;Prêt économies énergies;5939757186;Brad Volkman;Modernisation;;19/04/2010;188;Perdu
353216690;A.S ASCENSEURS SERVICES;Financement installations production énergies renouvellables;9201472187;Mara Lowe;Modernisation;;01/02/2011;107;Perdu
852415637;50 PARTNERS GESTION;Financement travaux modernisation;2015539188;Lavon Lang;Modernisation;02/12/2016;24/09/2016;135;Gagné
839246428;HOTEL DE LA TOUR D'AUVERGNE;Financement plan réduction émissions CO2;4160943189;Queen Pfannerstill;Modernisation;01/08/2019;03/05/2019;166;Gagné
414403477;ABC FENETRES;Financement formation TES;7504849190;Isaac Runolfsdottir;Développement;;02/09/2016;253;Perdu
500878228;HL PRODUCTION;Prêt participatif développement bois;7594719191;Brad Volkman;Développement;11/05/2014;18/03/2014;397;Gagné
878830223;HOLDING DE PHARMARCIE INDEPENDANTES;Prêt Crédit Impôt Recherche;4802758192;Cecile Marquardt;Développement;;07/01/2016;304;Perdu
785353186;19 MAI PRESSE;Financement installations production énergies renouvellables;6601253193;Hayden Schroeder;Modernisation;27/10/2015;19/09/2015;363;Gagné
439014812;SOC APPLICATION RECHER RATIONAL CONSTRUC;Prêt participatif développement bois;6049712194;Price Glover;Développement;;27/02/2014;383;Perdu
414016436;8EME CONTINENT;Prêt Crédit Impôt Recherche;7592850195;Lavon Lang;Développement;06/11/2017;12/08/2017;368;Gagné
431936020;ABR;Prêt économies énergies;0062788196;Abigayle Rohan;Modernisation;19/09/2013;19/08/2013;127;Gagné
840531289;SOC FINANCIERE ET IMMOBILIE PETROFRANCE;Financement campagne sensibilisation interne TES;6363273197;Cecile Marquardt;Développement;12/04/2016;21/02/2016;129;Gagné
508827391;SOC GARAGE SAINT GEORGES;Prêt participatif développement bois;1799071198;Queen Pfannerstill;Développement;30/11/2014;20/09/2014;140;Gagné
430050641;SOC EXPL HOTEL CLUNY SQUARC;Prêt économies énergies;5716974199;Cecile Marquardt;Modernisation;;19/02/2019;265;Perdu
794386599;SM CONTACT;Prêt participatif développement bois;7228723200;Frederick Predovic;Développement;;30/09/2018;228;Perdu
794238071;HIBANA LIVE;Financement travaux modernisation;2076609201;Cecile Marquardt;Modernisation;;30/12/2016;500;Perdu
848305967;SOC AUTOMATISM REALISAT ASCENSEUR;Prêt Crédit Impôt Recherche;3959588202;Frederick Predovic;Développement;;13/10/2012;262;Perdu
422238725;SOC EDEN HOTEL;Financement travaux modernisation;0453797203;Felicia Nicolas;Modernisation;;24/07/2018;247;Perdu
820650497;HIRED TALENT MARKETPLACE FRANCE SAS;Financement installations production énergies renouvellables;1155220204;Mara Lowe;Modernisation;;23/02/2017;494;Perdu
802615591;HAXO EXOTIQUE;Financement plan réduction émissions CO2;3015539205;Hayden Schroeder;Modernisation;;16/07/2014;369;Perdu
499195261;7C;Financement formation TES;3760830206;Mara Lowe;Développement;;06/06/2019;196;Perdu
480062553;HEFED;Prêt participatif développement bois;9280058207;Trystan Hickle;Développement;;31/05/2019;254;Perdu
316067891;HOTEL CENTRAL CHAMPOLLION;Prêt participatif développement bois;0875403208;Queen Pfannerstill;Développement;;30/01/2012;361;Perdu
