DATE_CREATION;SIREN;NOM_ENTREPRISE;NUM_REGISTRATION;TYPE_CLIENT;NB_SALARIES;ADRESSE_RUE;CITY;ZIPCODE
01/09/2019;775666357;HDN;10225509;TPE;6;8 Avenue DU CHATEAU DU LOIR;COURBEVOIE;92400
14/02/2008;502752983;SIB FRANCE SYSTEME INFORMATIQ BUREAUTIQ;21632798;TPE;6;79 Rue DE COLOMBES;COURBEVOIE;92400
01/04/2002;442326112;SIBIOTECH;39507920;TPE;4;42 Rue HUDRI;COURBEVOIE;92400
26/01/2018;835053794;HDS;21969446;PME;58;29 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;92400
30/06/2017;791549900;SIBM;32534872;PME;126;22 Place DES VOSGES;COURBEVOIE;92400
28/02/2012;824193692;HDW SEC;37217291;TPE;8;12 Rue KILFORD;COURBEVOIE;92400
03/09/2007;441330818;SICARA INC;16868337;TPE;4;100 Rue DE COLOMBES;COURBEVOIE;92400
18/04/2006;489880625;HEALTH AND BIOTECH FRANCE (H & B FRANCE);17783430;ETI;865;51 Avenue MARCEAU;COURBEVOIE;92400
16/01/2018;422006262;SICASOV;10188243;GE;6076;9 Avenue DE LA LIBERTE;COURBEVOIE;92400
15/06/1996;408182830;HEALTH CITY FRANCE;37639151;GE;6725;137 Rue ARMAND SILVESTRE;COURBEVOIE;92400
25/05/2003;448043307;SICASS EUROPE;18269285;ETI;2393;14 Rue MOLIERE;COURBEVOIE;92400
01/01/2017;391113776;HEALTH CONSULTING SERVICES INTERNATIONAL;24712809;ETI;3754;26 Rue DE BEZONS;COURBEVOIE;92400
03/01/2019;844162453;SICCA IDF;21343170;PME;32;18 Avenue D ALSACE;COURBEVOIE;92400
17/09/2018;488766510;HEAT;31566263;TPE;8;19 Avenue DUBONNET;COURBEVOIE;92400
01/11/2012;478089592;SICNL;29445393;TPE;3;54 Boulevard DE LA PAIX;COURBEVOIE;92400
08/02/2007;494152325;HEATALY;37213000;TPE;4;2 Avenue GAMBETTA;COURBEVOIE;92400
30/09/1997;413888850;SIDIESE;31993977;PME;134;14 Rue DU PRESIDENT KRUGER;COURBEVOIE;92400
01/09/2018;848953204;HEAVEN;24193479;TPE;7;12 Rue CAMILLE SAINT SAENS;COURBEVOIE;92400
01/01/2014;801133760;SIELE;27219824;PME;52;2 Rue DE SEBASTOPOL;COURBEVOIE;92400
01/10/2015;380176016;HECH FRANCE;12990305;PME;201;10 Rue GAULTIER;COURBEVOIE;92400
02/10/2017;832495980;SIEN;19446222;TPE;4;11 Rue LOUVAIN;COURBEVOIE;92400
01/01/1900;693001281;HEDEOS;23759815;PME;188;1 Place SAMUEL DE CHAMPLAIN;COURBEVOIE;92400
02/05/2019;850461690;HEDIOS PATRIMOINE;33204237;GE;6290;54 Avenue PUVIS DE CHAVANNE;COURBEVOIE;92400
25/12/1995;38931184;SIERRA-NET;39093465;ETI;662;53 Avenue GAMBETTA;COURBEVOIE;92400
29/07/1999;424787901;SIGEM;13504234;ETI;1315;8 Boulevard DE LA PAIX;COURBEVOIE;92400
01/09/2004;480062553;HEFED;14170088;PME;232;81 Avenue MARCEAU;COURBEVOIE;92400
03/10/2006;492600523;SIGHTLINE;34314972;TPE;1; Avenue LEONARD DE VINCI;COURBEVOIE;92400
03/11/2014;791254790;HEIMDALL;24102431;TPE;8;7 Rue DE LA MUTUALITE;COURBEVOIE;92400
26/11/2014;808094767;SIGN SERVICES;26998612;PME;112;9 Rue PAUL NAPOLEON ROINARD;COURBEVOIE;92400
25/12/1995;38844395;HELENE FRICOUT EURL D ARCHITECTURE;29054468;PME;60;1 Place DES SAISONS;COURBEVOIE;92400
15/08/2010;524082062;SIGNATURE ST GERMAIN DES PRES SARL;19686476;TPE;2;51 Avenue LEONARD DE VINCI;COURBEVOIE;92400
04/04/2005;482147899;HELENE K - HELENE GAINVILLE;32080454;ETI;2903;16 Rue DES LILAS D ESPAGNE;COURBEVOIE;92400
05/02/2013;511012643;SIGNATURES;39918182;PME;65;12 Rue EDGAR QUINET;COURBEVOIE;92400
01/03/2010;398292201;HELIODORE;28983745;TPE;6;31 Rue ADAM LEDOUX;COURBEVOIE;92400
19/07/2005;483355475;SIGNATURS;25441312;TPE;1;12 Rue CARLE HEBERT;COURBEVOIE;92400
02/07/2018;840859367;HELIONWOOD;36231435;TPE;3;43 Avenue MARCEAU;COURBEVOIE;92400
15/01/1997;411363161;SIGNES;26251327;PME;17;1  PARC DE LATTRE DE TASSIGNY;COURBEVOIE;92400
11/10/2006;492341763;HELIOPROD METHANISATION;18623895;PME;27;9 Rue MOLIERE;COURBEVOIE;92400
24/09/2015;814181020;SIGT;39392816;PME;18;4 Rue EDITH CAVELL;COURBEVOIE;92400
02/09/2019;853561819;HELIOS;13204598;PME;150;13 Place DES DOMINOS;COURBEVOIE;92400
18/06/2017;832419634;SILAN;30133375;ETI;741;25 Rue VICTOR HUGO;COURBEVOIE;92400
11/03/1991;318133725;HELIUM;21492085;GE;9653;2 Avenue MALVESIN;COURBEVOIE;92400
06/08/2018;841747785;SILENT;19926461;PME;27;293 Boulevard SAINT DENIS;COURBEVOIE;92400
20/05/2010;522611565;HELLEBORE;30444277;TPE;4;39 Avenue LEONARD DE VINCI;COURBEVOIE;92400
04/11/2019;821284635;SILIAS TRADING;22556728;ETI;1765;33 Place DES COROLLES;COURBEVOIE;92400
16/12/1987;343559498;HELLIN SEBBAG ARCHITECTES ASSOCIES;25924781;PME;171;1 Rue ADOLPHE LALYRE;COURBEVOIE;92400
07/06/2018;393433586;SILIGENCE;17193768;PME;138;41 Boulevard DE VERDUN;COURBEVOIE;92400
01/11/2014;808611198;HELLMA FRANCE;35312362;TPE;2;4 Boulevard SAINT DENIS;COURBEVOIE;92400
04/02/2013;499575702;SILLAGE DISTRIBUTION SARL;23116906;TPE;7;65 Avenue GAMBETTA;COURBEVOIE;92400
01/09/2016;810899674;HELLO TOMORROW;11404790;TPE;5;7 Rue DES SALLES;COURBEVOIE;92400
04/07/2005;483502803;HELLOHIKIMORI;13052687;TPE;4;1 Rue FALLET;COURBEVOIE;92400
14/02/2017;827756438;HELOENCE;10250712;TPE;2;4 Rue MASSENET;COURBEVOIE;92400
28/06/2018;810196436;HELVET UNDERGROUND;33676910;PME;163;80 Rue MOULIN DES BRUYERES;COURBEVOIE;92400
05/11/2017;839155017;HEMERA DIGITAL CONSULTING;29735052;PME;157;73 Rue SEGOFFIN;COURBEVOIE;92400
01/07/2018;811544303;SI-LOGISM;34152424;TPE;8;37 Avenue DUBONNET;COURBEVOIE;92400
01/04/2011;504466715;SILOM GROUP SARL;10595701;TPE;2;9 Rue MOULIN DES BRUYERES;COURBEVOIE;92400
28/03/2018;838580793;SILTEC;22890521;ETI;3415;5  PARC DE LATTRE DE TASSIGNY;COURBEVOIE;92400
23/11/2013;798149142;SILVER CREEK;31782751;GE;7698;4 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
03/10/2016;823642574;SILVER VOYAGES;32384027;GE;8964;16 Rue MOULIN DES BRUYERES;COURBEVOIE;92400
15/09/2009;514635630;HENDI ET HENDI;34576379;ETI;2406;2 Avenue GAMBETTA;COURBEVOIE;92400
07/02/2017;821870631;SILVYA TERRADE PARIS CHAMPS ELYSEES;14732925;ETI;3089;17 Place DES REFLETS;COURBEVOIE;92400
02/06/2014;802701201;HENG SHENG;25465794;PME;128;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
16/08/2018;842073397;SIM BATI DECO;28983457;TPE;7;14 Rue FALLET;COURBEVOIE;92400
15/01/2017;825036783;HENNESSEN ET CIE SAS;15390539;TPE;3;71 Rue VICTOR HUGO;COURBEVOIE;92400
27/03/2001;410084495;SIM DES PEUPLIERS;14371469;TPE;3;73 Rue DE BEZONS;COURBEVOIE;92400
08/06/1999;423334408;HENNIG ARCHITECTES;39407591;PME;51;99 Rue ARMAND SILVESTRE;COURBEVOIE;92400
20/06/2012;449032556;SIM H;17143554;TPE;4;2 Avenue GALLIENI;COURBEVOIE;92400
21/09/2010;512204850;HENRAT ET GARIN;35673925;PME;148;82 Boulevard SAINT DENIS;COURBEVOIE;92400
21/06/1985;572215721;SIMAPA SASU;13256084;PME;25;1 ALL LE TITIEN;COURBEVOIE;92400
01/08/2012;753342286;HENRIOT DECO;10158621;TPE;4;3 Place JEAN MERMOZ;COURBEVOIE;92400
30/06/1998;419411434;SIMAR;11168276;PME;64;13 Rue JOSEPH RIVIERE;COURBEVOIE;92400
11/08/2008;507626364;HENRIQUE ENKO;38833992;GE;6433;18 Rue DE SEBASTOPOL;COURBEVOIE;92400
23/06/2016;821080751;SIMBAP;21261008;ETI;1417;18 Avenue LEONARD DE VINCI;COURBEVOIE;92400
06/04/2011;534740857;HERACLES AVOCATS;23079273;ETI;4943;39 Avenue PASTEUR;COURBEVOIE;92400
01/07/2017;428437511;SIMFLEUR DEVELOPPEMENT;33741808;PME;237;30 Rue DE BELFORT;COURBEVOIE;92400
01/06/1969;326606852;HERACLES DEVELOPPEMENT;21208415;TPE;9;35 Rue DU 22 SEPTEMBRE;COURBEVOIE;92400
02/05/1994;395128788;SIMONE;20846286;TPE;3;67 Avenue GAMBETTA;COURBEVOIE;92400
11/03/2013;422133264;HERACLES INVESTISSEMENT;32514493;PME;143;5 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;92400
11/06/2019;851687889;SIMONE 3;23160455;PME;34;53 Avenue GAMBETTA;COURBEVOIE;92400
07/08/2007;379010440;HERALIS MARKETING;29703357;TPE;7;58 Rue LAMBRECHTS;COURBEVOIE;92400
01/02/1999;421858267;SIMPLE ENGINEERING FRANCE;30355223;ETI;2048;22 Boulevard DE LA PAIX;COURBEVOIE;92400
15/01/2005;480131127;HERBORISA NATURA;10760084;PME;86;21 Rue DE COLOMBES;COURBEVOIE;92400
01/11/2019;878303510;SIMR;14336782;TPE;6;45 Rue LOUIS BLANC;COURBEVOIE;92400
01/01/2019;809150949;HERBORISTERIE DU PALAIS ROYAL;23136778;TPE;4;2 Rue HAUSSMANN;COURBEVOIE;92400
22/11/2007;422153361;SIMTEX;17615623;TPE;3;53 Rue DE BELFORT;COURBEVOIE;92400
25/12/1995;43875244;HERITAGE COLLECTION;21511642;PME;239;25 Rue VICTOR HUGO;COURBEVOIE;92400
01/01/2002;449131150;SIN REJAC;22076001;PME;155;20 Avenue MALVESIN;COURBEVOIE;92400
13/04/2017;829618834;HERMINEA FINANCE;16247835;PME;184;5 Rue SAINT GUILLAUME;COURBEVOIE;92400
01/09/2013;795051580;SINALYS;10783061;PME;183;10 Rue DE LA MONTAGNE;COURBEVOIE;92400
16/11/2006;492853965;HERMITAGE;29787139;ETI;1978;11 Square DES COROLLES;COURBEVOIE;92400
05/12/1992;389598095;SINDOU FAURIE PLANSON ET ASSOCIES;19186995;GE;5708;7 Rue DONATELLO;COURBEVOIE;92400
30/09/2019;841077167;HERTZOG - ZIBI - RUFF & ASSOCIES;13870267;PME;249;19 Rue CARPEAUX;COURBEVOIE;92400
08/03/2016;819199167;SINENOVE;30445279;TPE;9;57 Rue VICTOR HUGO;COURBEVOIE;92400
13/09/2012;753824788;HERVE LABEILLE ET ASSOCIES;22383530;ETI;533;19 Rue JULES FERRY;COURBEVOIE;92400
03/08/1999;428800817;SINGEL;37443351;PME;215;1 Rue DE BITCHE;COURBEVOIE;92400
27/11/2012;532239563;HERVE MARTIN ET NICOLAS PHILIPPOT, NOTAIRES ASSOCIES D'UNE SOCIETE CIVILE PROFESSIONNELLE, TITULAIRE D'UN OFFICE...;38636800;PME;151;9 Rue DE L ABREUVOIR;COURBEVOIE;92400
14/07/2000;432603876;SINGER & HAMILTON;15656278;TPE;6;5 Place HEROLD;COURBEVOIE;92400
01/01/2010;485076277;HERVE MINIOU CONSEIL ET COMPTABILITE;37336976;TPE;8;34 Rue HENRI REGNAULT;COURBEVOIE;92400
25/01/2019;813533163;HERVE ROUET, SANDRINE MACET, HUISSIERS DE JUSTICE;10810245;TPE;6;18 Avenue D ALSACE;COURBEVOIE;92400
01/07/2017;521452896;HERVIEU - FOLLACCI SAS;34894291;TPE;2;12 Rue BAUDIN;COURBEVOIE;92400
15/10/1996;784672776;HESPERIA DEVELOPPEMENT;29899921;TPE;8;48 Rue LOUIS BLANC;COURBEVOIE;92400
08/02/1990;353920697;HESPERIE CONSEIL;12362098;PME;39;153 Avenue DE LA REPUBLIQUE;COURBEVOIE;92400
08/02/2013;500873633;HESSEM;28025419;PME;27;34 Avenue MARCEAU;COURBEVOIE;92400
15/06/2015;812278679;HEVEA FRANCE;25834678;TPE;3;2 Square HENRI REGNAULT;COURBEVOIE;92400
10/04/2010;521722090;HEXAMEDIA;30738767;TPE;4;49 Rue DES ETUDIANTS;COURBEVOIE;92400
01/04/2018;838733202;SINGER AVOCATS;31531916;ETI;2425;60 Rue SEGOFFIN;COURBEVOIE;92400
01/08/2012;752411280;SINGH GSM;17132224;GE;5038;1 Place SAMUEL DE CHAMPLAIN;COURBEVOIE;92400
05/03/2019;848994737;SINNY & OOKO;38888676;GE;6190;15 Square DES SAISONS;COURBEVOIE;92400
21/12/2015;407537976;SINOLOGIE;37482573;ETI;2663;93 Avenue MARCEAU;COURBEVOIE;92400
01/07/1998;420811721;SINORAMA;20034485;ETI;1672;12 Rue SAINTE MARIE;COURBEVOIE;92400
01/09/1994;398050187;SINORAMA VOYAGES;36002788;PME;198;80 Rue SEGOFFIN;COURBEVOIE;92400
15/06/1998;400421434;SINTIMEX;10732060;TPE;8;155 Rue JP TIMBAUD;COURBEVOIE;92400
29/09/2004;478823206;SIOUXE;21069259;TPE;8;112 Rue JP TIMBAUD;COURBEVOIE;92400
01/03/2011;530420587;HEXAMODE;20192619;TPE;4;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;92400
16/02/2018;425000148;SIPEST;30831402;PME;17;53 Rue FRANKLIN;COURBEVOIE;92400
13/06/2019;851670026;HEYMANN RENOULT ASSOC;12149887;TPE;8;108 Rue ARMAND SILVESTRE;COURBEVOIE;92400
03/11/2005;440252666;SIRAM;25297569;PME;15;19 Place DE L IRIS;COURBEVOIE;92400
02/04/2003;447771494;HFCA;28502358;PME;39;1 Rue ADOLPHE LALYRE;COURBEVOIE;92400
01/12/2004;480689033;SIRCA;29252706;TPE;3;6 Avenue DE LA TERRASSE;COURBEVOIE;92400
20/10/1997;414592840;HG CONSEIL;24554664;PME;139;2 Place MALVESIN;COURBEVOIE;92400
14/06/2019;488126962;SIRENNES ESTHETIQUE;30266919;GE;9506;9 ALL DE L ARCHE;COURBEVOIE;92400
03/02/2004;452679558;HG SARO;31122743;ETI;2250;4 Rue VICTOR HUGO;COURBEVOIE;92400
30/06/2017;331384701;SIRKAM;31994823;ETI;1194;34 Passage DE LA COUPOLE;COURBEVOIE;92400
01/07/2019;803425925;4DCELL;10983636;PME;115;23 Rue D ESSLING;COURBEVOIE;92400
25/10/2017;833207699;HH FRANCE;19932701;TPE;2;70 Avenue GAMBETTA;COURBEVOIE;92400
01/06/2017;484644943;SIRTEG;13273550;TPE;7;34 Rue HENRI REGNAULT;COURBEVOIE;92400
01/02/2019;848325338;4M CONSULTING;34801295;PME;164;37 Rue EDITH CAVELL;COURBEVOIE;92400
20/06/2017;830428256;HHP;13612295;PME;130;3 Rue JEAN BAPTISTE CHARCOT;COURBEVOIE;92400
25/03/2006;433167772;SIS CREARGIE SA;14231583;TPE;3;5 Rue FRANKLIN;COURBEVOIE;92400
26/07/2012;477781967;5 LA VIE;14956129;ETI;4455;1  VLA CHAMBON;COURBEVOIE;92400
01/03/1994;380302927;HI   TECH;28002831;PME;208;206 Rue JEAN BAPTISTE CHARCOT;COURBEVOIE;92400
25/05/2006;403049075;SISSO 360;35392667;TPE;3;5  PARC DE LATTRE DE TASSIGNY;COURBEVOIE;92400
01/07/2019;852415637;50 PARTNERS GESTION;39014707;TPE;3;34 Rue HENRI REGNAULT;COURBEVOIE;92400
01/07/2013;794238071;HIBANA LIVE;39224239;TPE;7; Avenue PUVIS DE CHAVANNES;COURBEVOIE;92400
10/12/2007;501642813;SISSYA;32964343;PME;76;22 Boulevard DE LA MISSION MARCHAND;COURBEVOIE;92400
15/03/2019;449471937;55 MEDISPA;32453350;PME;14;56 Boulevard DE VERDUN;COURBEVOIE;92400
30/05/2015;814641718;HICAREX;30358517;PME;181;45 Rue LOUIS BLANC;COURBEVOIE;92400
01/09/2004;478738917;SISTBP;35558895;PME;128;9 Place DE SAVERNE;COURBEVOIE;92400
16/09/2013;797672169;5H55;27036655;ETI;541;23 Avenue GALLIENI;COURBEVOIE;92400
21/04/2017;831375811;HICKORY 2;18866201;GE;8393;3 Rue DU DOCT SCHWEITZER;COURBEVOIE;92400
19/11/2018;844327312;SISTHERESA;36979682;PME;10;52 Rue DE BEZONS;COURBEVOIE;92400
01/09/2017;791962095;60 W CONSULTING;15856619;TPE;8;32 Rue BAUDIN;COURBEVOIE;92400
08/12/2005;488001595;HICKORY CONSEIL;24543416;ETI;1421;15 Rue ROUGET DE L ISLE;COURBEVOIE;92400
05/11/1996;782846422;SITEXPO EXPLOITATION;12758529;PME;156;41 Rue DES ETUDIANTS;COURBEVOIE;92400
04/04/2017;839309432;6-24 HOLDING;16263929;PME;33;5 Rue ADAM LEDOUX;COURBEVOIE;92400
25/12/1995;38923777;HIDOUCHE DISTRIBUTION;13260249;TPE;8;5 Place HEROLD;COURBEVOIE;92400
20/06/2011;533475661;SIVAN DISTRIBUTION;33163986;TPE;7;9 Rue DE L ABREUVOIR;COURBEVOIE;92400
01/07/2017;830599106;65 RUISSEAU;10203312;TPE;9;20 Place DE L IRIS;COURBEVOIE;92400
10/12/2005;485203764;HIFIBIO;10817091;TPE;8;12 Place DE LA DEFENSE;COURBEVOIE;92400
23/10/2007;501089163;SIVP DENT STE INTERNAT VENT PROT DENT;11253200;TPE;3;11 Place DES DOMINOS;COURBEVOIE;92400
30/05/1990;378253553;6A CAPITAL & CONSEIL;22377000;PME;183;81  GALERIE DES DAMIERS;COURBEVOIE;92400
02/11/1996;410117121;HIGH ART;24540959;PME;101;29 Boulevard DE VERDUN;COURBEVOIE;92400
01/01/2019;851482950;SIZMEK;33450763;TPE;2;11 Avenue DUBONNET;COURBEVOIE;92400
22/04/2008;483328209;6WWW;26771663;TPE;1;27 Rue PARMENTIER;COURBEVOIE;92400
30/08/1999;424750677;HIGH BRIDGE & CO;37169586;ETI;3031;43 Rue DU CAPITAINE GUYNEMER;COURBEVOIE;92400
15/08/2013;794525519;SJMC;38480734;GE;9209;88 Rue ARMAND SILVESTRE;COURBEVOIE;92400
17/11/2016;823778980;7 EXPERTISE;26563937;GE;8335;29 Rue DE BEZONS;COURBEVOIE;92400
20/09/1986;338905458;HIGH FLYERS AGENCY;23670040;ETI;4484;3 Rue ARLETTY;COURBEVOIE;92400
01/01/2019;830815650;SK CONCEPT;23075674;ETI;1518;163 Rue JEAN BAPTISTE CHARCOT;COURBEVOIE;92400
06/01/1995;399888619;711RENT PARIS;33982497;PME;169;20 Place DE L IRIS;COURBEVOIE;92400
11/05/2017;823818240;HIGHFIELDS INVESTMENTS LIMITED;26213175;TPE;6;2 Rue DE L ALMA;COURBEVOIE;92400
31/10/1997;480192533;SKAG;37360936;TPE;7;45 Boulevard DE VERDUN;COURBEVOIE;92400
01/08/2013;794235333;75,FAUBOURG;23413509;TPE;9;26 Rue DE BELFORT;COURBEVOIE;92400
