DATE_CREATION;SIREN;RAISON_SOCIALE;CODE_POSTAL;SECTEUR_ACTIVITE;TAILLE_ENTREPRISE;RESULTAT_NET;CHIFFRE_AFFAIRES;CAPITAL_SOCIAL;NB_SALARIES;ADRESSE_RUE;VILLE;DETTES_FISCALES;PRÊT_BANCAIRE
26/09/2018;750580243;SHEPALI;92400;Ecologie;ETI;66373;199119;2058891;3716;12 Avenue LEONARD DE VINCI;COURBEVOIE;71478;64317
17/03/2017;505099598;HAUTES ETUDES APPLIQUEES DU DROIT (HEAD);92400;Energie;PME;23509;70528;729261;194;22 Boulevard DE LA PAIX;COURBEVOIE;941;7658
01/01/1900;785355041;SHERFI SAS;92400;Ecologie;PME;7453;22360;231199;61;1 Place DES SAISONS;COURBEVOIE;43410;79796
21/06/2004;477855548;HAVRE TRONCHET;92400;Restauration;TPE;2999;8996;93022;1;16 Place DE L IRIS;COURBEVOIE;55872;12078
29/07/2011;533866893;SHERPA - SOCIETE DES HOTELS ECONOMIQUES DE LA REGION PARISIENNE;92400;Alimentation;TPE;916;2747;28400;3;14 Avenue DUBONNET;COURBEVOIE;55194;42513
24/02/2016;818689556;HAWAI IVRY;92400;Automobile;TPE;1667;5001;51709;9;43 Avenue GAMBETTA;COURBEVOIE;55896;65493
01/12/2017;833524713;HAWAII;92400;Immobilier;TPE;1335;4006;41420;4;18 Avenue LEONARD DE VINCI;COURBEVOIE;78726;45867
04/12/2015;499680494;SHIGERU BAN ARCHITECTS EUROPE;92400;Social;TPE;1720;5161;53363;8;3 Rue DE COLOMBES;COURBEVOIE;66539;96821
01/04/2011;531056257;SHINETIME;92400;Social;PME;5334;16003;165467;103;10 Rue DE LA MONTAGNE;COURBEVOIE;61876;93041
16/05/2014;802615591;HAXO EXOTIQUE;92400;Agriculture;PME;8595;25784;266602;189;24 Rue CARLE HEBERT;COURBEVOIE;8491;35301
01/10/1992;389005067;SHINICHI;92400;Agriculture;TPE;1273;3820;39498;8;5 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;99372;29367
01/07/2015;812592830;HAXO-BLUN;92400;Pharmaceutique;TPE;1365;4094;42331;6;2 Rue EDITH CAVELL;COURBEVOIE;68633;51655
01/07/2016;821287810;SHINIE;92400;Santé;ETI;160592;481776;4981560;430;1 Promenade SAINT NICOLAS;COURBEVOIE;10273;51116
30/03/2005;790626246;HAY;92400;"Sant""";GE;383092;1149277;11883528;5557;47 Rue DE BEZONS;COURBEVOIE;63774;92158
22/08/2017;831558721;SHINSEGAE POIRET;92400;Immobilier;GE;1157904;3473711;35918168;7851;18 Rue SAINT GUILLAUME;COURBEVOIE;41875;83722
20/12/2013;790932412;HAYA;92400;Alimentation;ETI;312568;937703;9695854;1340;293 Boulevard SAINT DENIS;COURBEVOIE;19367;40403
01/06/2019;853412237;SHINZZO AND CO;92400;Agriculture;ETI;283785;851356;8803023;4111;  TOUR FRAMATOME;COURBEVOIE;76895;7953
01/01/2010;504472044;HAYS FINANCE;92400;Restauration;PME;29888;89664;927130;160;38 Rue DE NORMANDIE;COURBEVOIE;12058;48988
25/09/2003;452796394;SHIPLEADER RETURNS;92400;Hotellerie;TPE;1741;5223;54007;3;88 Rue ARMAND SILVESTRE;COURBEVOIE;84361;87506
22/07/2014;803672310;HAYS MEDIAS;92400;Hotellerie;TPE;2313;6938;71738;8;5 Rue MOLIERE;COURBEVOIE;14378;72120
16/11/1989;352779730;SHIPTON & HENEAGE;92400;Informatique;TPE;744;2232;23080;4;13 Chemin PIERRE DE RONSARD;COURBEVOIE;15285;30588
01/01/2007;433919834;HAYS PHARMA TECHNOLOGY CONSULTING;92400;Informatique;PME;20149;60446;625015;80;9 Rue VICTOR HUGO;COURBEVOIE;87028;33996
27/05/2019;851638882;SHIRO;92400;Agriculture;TPE;2501;7504;77594;1;42  TERRASSE DE L IRIS;COURBEVOIE;1143;13431
01/12/2014;808326839;HAZA;92400;Energie;PME;16773;50319;520303;98;71 Boulevard SAINT DENIS;COURBEVOIE;64687;67459
11/05/2000;433174182;SHIRYU;92400;Ecologie;PME;13476;40429;418032;85;33 Boulevard SAINT DENIS;COURBEVOIE;15828;9967
01/11/2018;753435676;HB 75;92400;Energie;TPE;2323;6968;72045;7;17 Rue CANTIN;COURBEVOIE;7246;47311
28/11/1996;411107402;SHIVA GROUPE;92400;Automobile;PME;11457;34371;355401;228;56 Rue DE BEZONS;COURBEVOIE;99709;4135
01/08/2014;328896501;HB DIFFUSION;92400;Immobilier;GE;2013771;6041312;62467161;7525;110 Avenue MARCEAU;COURBEVOIE;53828;43117
01/03/2011;530971399;SHIVAS;92400;Alimentation;ETI;266322;798965;8261296;4980;20 Avenue ANDRE PROTHIN;COURBEVOIE;95902;78890
19/07/2005;419607007;HBA;92400;Ecologie;ETI;60461;181383;1875505;4519;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;65211;74511
02/01/2014;477950562;SHOC;92400;Ecologie;PME;12778;38334;396378;118;4 ALL BOTTICELLI;COURBEVOIE;4386;45367
25/12/1995;38891867;HBC LEGAL;92400;Agriculture;TPE;652;1956;20225;6;14 Rue GAULTIER;COURBEVOIE;45276;86513
20/10/1989;352369656;SHOJI HOME;92400;Informatique;TPE;2248;6743;69723;6;55 Rue DE BEZONS;COURBEVOIE;66760;34660
31/07/1999;424005320;HBE;92400;Automobile;PME;17865;53594;554159;16;1 Rue DE BITCHE;COURBEVOIE;21101;67187
20/06/2019;839932696;SHOP IN STORE;92400;Immobilier;PME;15056;45168;467035;113;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;53124;37983
01/01/2012;453741498;HBH COMMUNICATION;92400;Assurance;TPE;428;1285;13285;3;61 Rue DU 22 SEPTEMBRE;COURBEVOIE;23097;71591
01/01/2013;316917392;SHOP SOUVENIRS;92400;Assurance;ETI;252609;757826;7835923;1132;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;51435;2740
25/07/2007;499824290;HBHM;92400;Energie;PME;6504;19511;201746;50;4 Passage DE LA REUNION;COURBEVOIE;91773;84628
20/10/2010;521821447;SHORTLINKS;92400;Energie;TPE;1943;5829;60276;7;88 Rue DES ETUDIANTS;COURBEVOIE;61038;64951
10/09/1997;413914193;HBL CONSEIL;92400;Ecologie;TPE;1823;5468;56541;5;38 Rue JP TIMBAUD;COURBEVOIE;76672;42911
20/12/2001;441975133;SHOVO PARVEZ;92400;Energie;TPE;712;2137;22101;5;47 Avenue DE L EUROPE;COURBEVOIE;3840;74317
15/03/2016;819666249;HC;92400;Ecologie;PME;5589;16767;173374;36;110 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;23537;47006
14/07/2008;505032094;SHOWROOM 11 ROYALE;92400;Restauration;PME;27403;82209;850043;29;20 Rue LOUIS ULBACH;COURBEVOIE;59242;41454
25/12/1995;38884110;HCH 588;92400;Alimentation;PME;19907;59721;617518;210;39 Rue GAULTIER;COURBEVOIE;76541;95390
31/07/2014;804451342;SHOWROOM BLB;92400;Automobile;PME;29508;88524;915339;42;65 Avenue DE LA REPUBLIQUE;COURBEVOIE;32564;77574
19/03/2015;810505305;HCP PACKAGING FRANCE;92400;Immobilier;ETI;75633;226900;2346141;568;15 Quai DU PRESIDENT PAUL DOUMER;COURBEVOIE;77471;26
01/01/2008;501747539;SHUN JI;92400;Social;GE;385198;1155594;11948844;5151;3 Square LEON DE BERTALOT;COURBEVOIE;36013;85145
01/10/1990;381994854;HDA;92400;Social;PME;29893;89680;927287;185;42 Rue LOUIS ULBACH;COURBEVOIE;41196;8966
27/03/2015;810943019;SIA HOLDING;92400;Agriculture;TPE;550;1649;17052;1;12 Avenue LEONARD DE VINCI;COURBEVOIE;48930;91440
01/03/2018;790527949;HDF BEAUTY;92400;Agriculture;ETI;269476;808427;8359134;1765;88 Rue ARMAND SILVESTRE;COURBEVOIE;48900;19528
30/06/2017;438915779;SIACKHASONE FRERES;92400;Pharmaceutique;PME;28066;84197;870601;186;79 Rue DE COLOMBES;COURBEVOIE;75658;92760
01/01/2017;803048321;HDF PARA;92400;Santé;PME;30186;90559;936380;219;36 Boulevard DE VERDUN;COURBEVOIE;752;41531
10/12/2010;529251217;SIAE;92400;"Sant""";TPE;2131;6392;66091;8;23 Rue CARNOT;COURBEVOIE;16241;77902
24/11/2018;844262931;HDN;92400;Immobilier;TPE;1492;4477;46288;6;293 Boulevard SAINT DENIS;COURBEVOIE;54486;19794
01/09/2019;775666357;HDN;92400;Alimentation;TPE;754;2261;23374;6;8 Avenue DU CHATEAU DU LOIR;COURBEVOIE;61308;747
14/02/2008;502752983;SIB FRANCE SYSTEME INFORMATIQ BUREAUTIQ;92400;Agriculture;TPE;2043;6129;63369;6;79 Rue DE COLOMBES;COURBEVOIE;40147;18395
01/04/2002;442326112;SIBIOTECH;92400;Restauration;TPE;2922;8765;90626;4;42 Rue HUDRI;COURBEVOIE;62793;70423
26/01/2018;835053794;HDS;92400;Hotellerie;PME;15638;46914;485093;58;29 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;71355;90400
30/06/2017;791549900;SIBM;92400;Hotellerie;PME;5007;15022;155323;126;22 Place DES VOSGES;COURBEVOIE;96780;91780
28/02/2012;824193692;HDW SEC;92400;Informatique;TPE;835;2504;25887;8;12 Rue KILFORD;COURBEVOIE;90259;43302
03/09/2007;441330818;SICARA;92400;Informatique;TPE;1484;4453;46042;4;100 Rue DE COLOMBES;COURBEVOIE;68688;68059
18/04/2006;489880625;HEALTH AND BIOTECH FRANCE (H & B FRANCE);92400;Agriculture;ETI;265464;796393;8234700;865;51 Avenue MARCEAU;COURBEVOIE;35546;69038
16/01/2018;422006262;SICASOV;92400;Energie;GE;509462;1528386;15803512;6076;9 Avenue DE LA LIBERTE;COURBEVOIE;96256;1889
15/06/1996;408182830;HEALTH CITY FRANCE;92400;Ecologie;GE;1592518;4777555;49399920;6725;137 Rue ARMAND SILVESTRE;COURBEVOIE;54108;40850
25/05/2003;448043307;SICASS EUROPE;92400;Energie;ETI;152419;457256;4728028;2393;14 Rue MOLIERE;COURBEVOIE;82882;56461
01/01/2017;391113776;HEALTH CONSULTING SERVICES INTERNATIONAL;92400;Automobile;ETI;95555;286665;2964119;3754;26 Rue DE BEZONS;COURBEVOIE;99060;21484
03/01/2019;844162453;SICCA IDF;92400;Immobilier;PME;30096;90289;933587;32;18 Avenue D ALSACE;COURBEVOIE;63742;30203
17/09/2018;488766510;HEAT;92400;Alimentation;TPE;1469;4408;45577;8;19 Avenue DUBONNET;COURBEVOIE;31840;37351
01/11/2012;478089592;SICNL;92400;Ecologie;TPE;3190;9570;98949;3;54 Boulevard DE LA PAIX;COURBEVOIE;35865;70605
08/02/2007;494152325;HEATALY;92400;Ecologie;TPE;1090;3271;33823;4;2 Avenue GAMBETTA;COURBEVOIE;76223;13644
30/09/1997;413888850;SIDIESE;92400;Agriculture;PME;22974;68922;712653;134;14 Rue DU PRESIDENT KRUGER;COURBEVOIE;83685;75817
01/09/2018;848953204;HEAVEN;92400;Informatique;TPE;774;2321;23995;7;12 Rue CAMILLE SAINT SAENS;COURBEVOIE;33607;26705
01/01/2014;801133760;SIEL;92400;Automobile;PME;26119;78357;810210;52;2 Rue DE SEBASTOPOL;COURBEVOIE;72586;95294
01/10/2015;380176016;HECHT FRANCE;92400;Immobilier;PME;20748;62243;643588;201;10 Rue GAULTIER;COURBEVOIE;30790;27845
02/10/2017;832495980;SIEN;92400;Assurance;TPE;1880;5639;58309;4;11 Rue LOUVAIN;COURBEVOIE;82819;63508
01/01/1900;693001281;HEDEOS;92400;Assurance;PME;10876;32627;337367;188;1 Place SAMUEL DE CHAMPLAIN;COURBEVOIE;33398;34801
02/05/2019;850461690;HEDIOS PATRIMOINE;92400;Energie;GE;3124629;9373887;96925993;6281;54 Avenue PUVIS DE CHAVANNES;COURBEVOIE;15100;54525
25/12/1995;38931184;SIERRA-NET;92400;Energie;ETI;210652;631957;6534439;662;53 Avenue GAMBETTA;COURBEVOIE;20655;16488
29/07/1999;424787901;SIGEM;92400;Ecologie;ETI;78939;236818;2448696;1315;8 Boulevard DE LA PAIX;COURBEVOIE;58961;13938
01/09/2004;480062553;HEFED;92400;Energie;PME;8850;26550;274525;232;81 Avenue MARCEAU;COURBEVOIE;40038;89367
03/10/2006;492600523;SIGHTLINE;92400;Ecologie;TPE;1786;5358;55404;1; Avenue LEONARD DE VINCI;COURBEVOIE;18855;35364
03/11/2014;791254790;HEIMDALL;92400;Restauration;TPE;2214;6641;68669;8;7 Rue DE LA MUTUALITE;COURBEVOIE;80454;31188
26/11/2014;808094767;SIGN SERVICES;92400;Alimentation;PME;5842;17525;181212;112;9 Rue PAUL NAPOLEON ROINARD;COURBEVOIE;28673;63641
25/12/1995;38844395;HELENE FRICOUT EURL D ARCHITECTURE;92400;Automobile;PME;9108;27323;282516;60;1 Place DES SAISONS;COURBEVOIE;64915;79957
15/08/2010;524082062;SIGNATURE ST GERMAIN DES PRES SARL;92400;Immobilier;TPE;1492;4477;46291;2;51 Avenue LEONARD DE VINCI;COURBEVOIE;75353;53948
04/04/2005;482147899;HELENE K - HELENE GAINVILLE;92400;Social;ETI;277818;833453;8617903;2903;16 Rue DES LILAS D ESPAGNE;COURBEVOIE;65574;91897
05/02/2013;511012643;SIGNATURES;92400;Social;PME;20109;60326;623771;65;12 Rue EDGAR QUINET;COURBEVOIE;85779;64350
01/03/2010;398292201;HELIODORE;92400;Agriculture;TPE;3135;9405;97243;6;31 Rue ADAM LEDOUX;COURBEVOIE;49547;57517
19/07/2005;483355475;SIGNATURS;92400;Agriculture;TPE;2093;6279;64924;1;12 Rue CARLE HEBERT;COURBEVOIE;97214;16341
02/07/2018;840859367;HELIONWOOD;92400;Pharmaceutique;TPE;2057;6170;63802;3;43 Avenue MARCEAU;COURBEVOIE;72438;22398
15/01/1997;411363161;SIGNES;92400;Santé;PME;22583;67748;700511;17;1  PARC DE LATTRE DE TASSIGNY;COURBEVOIE;5420;88017
11/10/2006;492341763;HELIOPROD METHANISATION;92400;"Sant""";PME;8772;26315;272096;27;9 Rue MOLIERE;COURBEVOIE;1869;9229
24/09/2015;814181020;SIGT;92400;Immobilier;PME;27934;83801;866504;18;4 Rue EDITH CAVELL;COURBEVOIE;26768;80625
02/09/2019;853561819;HELIOS;92400;Alimentation;PME;17793;53378;551924;150;13 Place DES DOMINOS;COURBEVOIE;19380;49907
18/06/2017;832419634;SILAN;92400;Agriculture;ETI;86326;258978;2677829;741;25 Rue VICTOR HUGO;COURBEVOIE;78003;31606
11/03/1991;318133725;HELIUM;92400;Restauration;GE;2701572;8104715;83802750;9653;2 Avenue MALVESIN;COURBEVOIE;61;81406
06/08/2018;841747785;SILENT;92400;Hotellerie;PME;25905;77715;803578;27;293 Boulevard SAINT DENIS;COURBEVOIE;50316;81715
20/05/2010;522611565;HELLEBORE;92400;Hotellerie;TPE;2722;8165;84424;4;39 Avenue LEONARD DE VINCI;COURBEVOIE;9119;68239
04/11/2019;821284635;SILIAS TRADING;92400;Informatique;ETI;100241;300722;3109465;1765;33 Place DES COROLLES;COURBEVOIE;85422;27917
16/12/1987;343559498;HELLIN SEBBAG ARCHITECTES ASSOCIES;92400;Informatique;PME;7151;21452;221810;171;1 Rue ADOLPHE LALYRE;COURBEVOIE;19818;61961
07/06/2018;393433586;SILIGENCE;92400;Agriculture;PME;21832;65496;677232;138;41 Boulevard DE VERDUN;COURBEVOIE;57398;46629
01/11/2014;808611198;HELLMA FRANCE;92400;Energie;TPE;2336;7007;72449;2;4 Boulevard SAINT DENIS;COURBEVOIE;79023;21652
04/02/2013;499575702;SILLAGE DISTRIBUTION SARL;92400;Ecologie;TPE;795;2386;24676;7;65 Avenue GAMBETTA;COURBEVOIE;24270;32150
01/09/2016;810899674;HELLO TOMORROW;92400;Energie;TPE;3217;9652;99802;5;7 Rue DES SALLES;COURBEVOIE;43127;94836
04/07/2005;483502803;HELLOHIKIMORI;92400;Automobile;TPE;1885;5655;58472;4;1 Rue FALLET;COURBEVOIE;27598;55196
14/02/2017;827756438;HELOENCE;92400;Immobilier;TPE;715;2145;22176;2;4 Rue MASSENET;COURBEVOIE;6222;42170
28/06/2018;810196436;HELVET UNDERGROUND;92400;Alimentation;PME;15607;46822;484139;163;80 Rue MOULIN DES BRUYERES;COURBEVOIE;81228;86472
05/11/2017;839155017;HEMERA DIGITAL CONSULTING;92400;Ecologie;PME;29298;87895;908833;157;73 Rue SEGOFFIN;COURBEVOIE;66950;2492
01/07/2018;811544303;SI-LOGISM;92400;Ecologie;TPE;1568;4703;48633;8;37 Avenue DUBONNET;COURBEVOIE;94772;29675
01/04/2011;504466715;SILOM GROUP SARL;92400;Agriculture;TPE;3151;9452;97738;2;9 Rue MOULIN DES BRUYERES;COURBEVOIE;22660;55313
28/03/2018;838580793;SILTEC;92400;Informatique;ETI;230020;690060;7135221;3415;5  PARC DE LATTRE DE TASSIGNY;COURBEVOIE;88881;38720
23/11/2013;798149142;SILVER CREEK;92400;Automobile;GE;1031870;3095609;32008599;7698;4 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;62718;72932
03/10/2016;823642574;SILVER VOYAGES;92400;Immobilier;GE;1384530;4153590;42948119;8964;16 Rue MOULIN DES BRUYERES;COURBEVOIE;93105;45458
15/09/2009;514635630;HENDI ET HENDI;92400;Assurance;ETI;103984;311951;3225576;2406;2 Avenue GAMBETTA;COURBEVOIE;24365;19594
07/02/2017;821870631;SILVYA TERRADE PARIS CHAMPS ELYSEES;92400;Assurance;ETI;66858;200574;2073935;3089;17 Place DES REFLETS;COURBEVOIE;23593;75276
02/06/2014;802701201;HENG SHENG;92400;Energie;PME;19580;58740;607372;128;100 Esplanade DU GENERAL DE GAULLE;COURBEVOIE;53082;41655
16/08/2018;842073397;SIM BATI DECO;92400;Energie;TPE;1944;5832;60308;7;14 Rue FALLET;COURBEVOIE;7214;93538
15/01/2017;825036783;HENNESSEN ET CIE SAS;92400;Ecologie;TPE;2093;6278;64914;3;71 Rue VICTOR HUGO;COURBEVOIE;13342;96424
27/03/2001;410084495;SIM DES PEUPLIERS;92400;Energie;TPE;650;1951;20176;3;73 Rue DE BEZONS;COURBEVOIE;17342;37802
08/06/1999;423334408;HENNIG ARCHITECTES;92400;Ecologie;PME;26903;80710;834537;51;99 Rue ARMAND SILVESTRE;COURBEVOIE;13529;88730
20/06/2012;449032556;SIM H;92400;Restauration;TPE;2656;7967;82380;4;2 Avenue GALLIENI;COURBEVOIE;34422;40202
21/09/2010;512204850;HENRAT ET GARIN;92400;Alimentation;PME;27077;81232;839935;148;82 Boulevard SAINT DENIS;COURBEVOIE;92878;98936
21/06/1985;572215721;SIMAPA SASU;92400;Automobile;PME;24343;73029;755117;25;1 ALL LE TITIEN;COURBEVOIE;54945;28076
01/08/2012;753342286;HENRIOT DECO;92400;Immobilier;TPE;499;1498;15491;4;3 Place JEAN MERMOZ;COURBEVOIE;23040;19794
30/06/1998;419411434;SIMAR;92400;Social;PME;19494;58483;604719;64;13 Rue JOSEPH RIVIERE;COURBEVOIE;50608;39699
11/08/2008;507626364;HENRIQUE ENKO;92400;Social;GE;1751668;5255003;54336733;6433;18 Rue DE SEBASTOPOL;COURBEVOIE;47922;85724
23/06/2016;821080751;SIMBAP;92400;Agriculture;ETI;285674;857021;8861598;1417;18 Avenue LEONARD DE VINCI;COURBEVOIE;20000;62129
06/04/2011;534740857;HERACLES AVOCATS;92400;Agriculture;ETI;280223;840668;8692512;4943;39 Avenue PASTEUR;COURBEVOIE;58940;24290
01/07/2017;428437511;SIMFLEUR DEVELOPPEMENT;92400;Pharmaceutique;PME;4499;13498;139568;237;30 Rue DE BELFORT;COURBEVOIE;65720;81824
01/06/1969;326606852;HERACLES DEVELOPPEMENT;92400;Santé;TPE;3212;9635;99622;9;35 Rue DU 22 SEPTEMBRE;COURBEVOIE;7912;66965
02/05/1994;395128788;SIMONE;92400;"Sant""";TPE;2670;8011;82837;3;67 Avenue GAMBETTA;COURBEVOIE;49519;3303
11/03/2013;422133264;HERACLES INVESTISSEMENT;92400;Immobilier;PME;28115;84345;872125;143;5 Boulevard GEORGES CLEMENCEAU;COURBEVOIE;76282;11150
11/06/2019;851687889;SIMONE 3;92400;Alimentation;PME;18161;54484;563368;34;53 Avenue GAMBETTA;COURBEVOIE;84466;68077
07/08/2007;379010440;HERALIS MARKETING;92400;Agriculture;TPE;2168;6505;67265;7;58 Rue LAMBRECHTS;COURBEVOIE;69082;16971
01/02/1999;421858267;SIMPLE ENGINEERING FRANCE;92400;Restauration;ETI;108902;326705;3378129;2048;22 Boulevard DE LA PAIX;COURBEVOIE;40823;22935
15/01/2005;480131127;HERBORISA NATURA;92400;Hotellerie;PME;24357;73071;755553;86;21 Rue DE COLOMBES;COURBEVOIE;57704;41290
01/11/2019;878303510;SIMR;92400;Hotellerie;TPE;366;1098;11351;6;45 Rue LOUIS BLANC;COURBEVOIE;82929;7402
01/01/2019;809150949;HERBORISTERIE DU PALAIS ROYAL;92400;Informatique;TPE;1722;5167;53426;4;2 Rue HAUSSMANN;COURBEVOIE;74509;58165
22/11/2007;422153361;SIMTEX;92400;Informatique;TPE;1192;3575;36964;3;53 Rue DE BELFORT;COURBEVOIE;24624;13554
25/12/1995;43875244;HERITAGE COLLECTION;92400;Agriculture;PME;17041;51124;528627;239;25 Rue VICTOR HUGO;COURBEVOIE;96865;36744
01/01/2002;449131150;SIN REJAC;92400;Energie;PME;30686;92058;951880;155;20 Avenue MALVESIN;COURBEVOIE;34836;83633
13/04/2017;829618834;HERMINEA FINANCE;92400;Ecologie;PME;10768;32303;334012;184;5 Rue SAINT GUILLAUME;COURBEVOIE;95992;21213
01/09/2013;795051580;SINALYS;92400;Energie;PME;6354;19061;197086;183;10 Rue DE LA MONTAGNE;COURBEVOIE;87021;34620
16/11/2006;492853965;HERMITAGE;92400;Automobile;ETI;58123;174368;1802963;1978;11 Square DES COROLLES;COURBEVOIE;33028;51165
05/12/1992;389598095;SINDOU FAURIE PLANSON ET ASSOCIES;92400;Immobilier;GE;772680;2318040;23968535;5708;7 Rue DONATELLO;COURBEVOIE;90954;46339
30/09/2019;841077167;HERTZOG - ZIBI - RUFF & ASSOCIES;92400;Alimentation;PME;23058;69174;715262;249;19 Rue CARPEAUX;COURBEVOIE;16020;36351
08/03/2016;819199167;SINENOVE;92400;Ecologie;TPE;2142;6425;66430;9;57 Rue VICTOR HUGO;COURBEVOIE;9338;79836
13/09/2012;753824788;HERVE LABEILLE ET ASSOCIES;92400;Ecologie;ETI;244041;732122;7570145;533;19 Rue JULES FERRY;COURBEVOIE;85169;13075
03/08/1999;428800817;SINGEL;92400;Agriculture;PME;23475;70425;728199;215;1 Rue DE BITCHE;COURBEVOIE;59545;20730
27/11/2012;532239563;HERVE MARTIN ET NICOLAS PHILIPPOT, NOTAIRES ASSOCIES D'UNE SOCIETE CIVILE PROFESSIONNELLE, TITULAIRE D'UN OFFICE...;92400;Informatique;PME;24839;74516;770500;151;9 Rue DE L ABREUVOIR;COURBEVOIE;18304;62865
14/07/2000;432603876;SINGER & HAMILTON;92400;Automobile;TPE;1376;4128;42683;6;5 Place HEROLD;COURBEVOIE;49055;97704
01/01/2010;485076277;HERVE MINIOU CONSEIL ET COMPTABILITE;92400;Immobilier;TPE;2579;7738;80006;8;34 Rue HENRI REGNAULT;COURBEVOIE;31858;89416
25/01/2019;813533163;HERVE ROUET, SANDRINE MACET, HUISSIERS DE JUSTICE;92400;Assurance;TPE;633;1900;19647;6;18 Avenue D ALSACE;COURBEVOIE;1514;39638
01/07/2017;521452896;HERVIEU - FOLLACCI SAS;92400;Assurance;TPE;1383;4148;42895;2;12 Rue BAUDIN;COURBEVOIE;76824;49873
15/10/1996;784672776;HESPERIA DEVELOPPEMENT;92400;Energie;TPE;893;2679;27696;8;48 Rue LOUIS BLANC;COURBEVOIE;22825;23042
08/02/1990;353920697;HESPERIE CONSEIL;92400;Energie;PME;5622;16867;174405;39;153 Avenue DE LA REPUBLIQUE;COURBEVOIE;7749;58693
08/02/2013;500873633;HESSEM;92400;Ecologie;PME;7060;21180;219001;27;34 Avenue MARCEAU;COURBEVOIE;10133;5402
15/06/2015;812278679;HEVEA FRANCE;92400;Energie;TPE;364;1091;11280;3;2 Square HENRI REGNAULT;COURBEVOIE;36869;35591
10/04/2010;521722090;HEXAMEDIA;92400;Ecologie;TPE;1965;5895;60956;4;49 Rue DES ETUDIANTS;COURBEVOIE;59539;41255
01/04/2018;838733202;SINGER AVOCATS;92400;Restauration;ETI;172519;517556;5351525;2425;60 Rue SEGOFFIN;COURBEVOIE;15689;18313
01/08/2012;752411280;SINGH GSM;92400;Alimentation;GE;3057771;9173312;94852045;5038;1 Place SAMUEL DE CHAMPLAIN;COURBEVOIE;52467;29819
05/03/2019;848994737;SINNY & OOKO;92400;Automobile;GE;1261433;3784299;39129653;6190;15 Square DES SAISONS;COURBEVOIE;84986;37639
21/12/2015;407537976;SINOLOGIE;92400;Immobilier;ETI;108144;324433;3354638;2663;93 Avenue MARCEAU;COURBEVOIE;28129;84506
